date,stablecoin_mcap_usd,stablecoin_mcap_change_usd,btc_oi_value_usd,eth_oi_value_usd
2025-11-25,184474703182.0,143364893.0,8224813410.722476,5578261609.71618
2025-11-26,184492141326.0,17438144.0,7861700429.808,5387059774.14764
2025-11-27,184549453883.0,57312557.0,8048699931.72,5775866431.2084
2025-11-28,184606393163.0,56939280.0,8235254701.266157,5634058192.30749
2025-11-29,184652369485.0,45976322.0,8110502573.7204,5710839758.3576
2025-11-30,184591649934.0,-60719551.0,8031472952.8599,5693463981.95968
2025-12-01,184616288292.0,24638358.0,8182255546.7384405,5626226798.019516
2025-12-02,184628089623.0,11801331.0,7624302890.105775,5441523092.592485
2025-12-03,184714757749.0,86668126.0,8111364002.7134,5807305053.312
2025-12-04,185310328872.0,595571123.0,8247814177.551556,6299241324.524776
2025-12-05,185530759937.0,220431065.0,8214704928.959209,6264691036.27451
2025-12-06,185711151707.81,180391770.80999756,7742134475.442725,6279993997.273399
