date,btc_realized_cap_usd,eth_realized_cap_usd
2025-05-06,1892525687900.0,
2025-05-07,1925096960575.0,
2025-05-07,1928940382000.0,
2025-05-07,1930767212737.5,
2025-05-07,1938573507275.0,
2025-05-07,1919973218062.5,
2025-05-08,1963608344600.0,
2025-05-08,1973668308125.0,
2025-05-08,1975287060037.5,
2025-05-08,2007453603375.0,
2025-05-08,2053146569125.0,
2025-05-09,2040842334375.0,
2025-05-09,2046016810625.0,
2025-05-09,2056156942000.0,
2025-05-09,2052592687625.0,
2025-05-10,2047678602937.5,
2025-05-10,2053428540375.0,
2025-05-10,2049832575000.0,
2025-05-10,2044459347937.5,
2025-05-10,2056794881562.5,
2025-05-11,2061394463875.0,
2025-05-11,2061802106250.0,
2025-05-11,2063997451312.5,
2025-05-11,2074535780625.0,
2025-05-11,2064415828468.75,
2025-05-12,2023934999843.75,
2025-05-12,2041802250531.25,
2025-05-12,2065816675000.0,
2025-05-12,2074567112625.0,
2025-05-13,2028713192406.25,
2025-05-13,2042628295093.75,
2025-05-13,2058529960593.75,
2025-05-13,2082178874062.5,
2025-05-14,2056793950062.5,
2025-05-14,2065701880718.75,
2025-05-14,2055978660937.5,
2025-05-14,2060160582843.75,
2025-05-14,2056010034375.0,
2025-05-15,2055455800781.25,
2025-05-15,2027832598000.0,
2025-05-15,2042909529750.0,
2025-05-15,2025438586250.0,
2025-05-16,2066789388375.0,
2025-05-16,2066998446718.75,
2025-05-16,2057870705906.25,
2025-05-16,2060662577875.0,
2025-05-17,2044780360875.0,
2025-05-17,2054127597500.0,
2025-05-17,2042814353125.0,
2025-05-17,2046201862500.0,
2025-05-17,2052172003750.0,
2025-05-18,2086394270250.0,
2025-05-18,2078437153250.0,
2025-05-18,2052778320875.0,
2025-05-18,2057755238250.0,
2025-05-18,2063129534375.0,
2025-05-19,2077862075125.0,
2025-05-19,2048866951375.0,
2025-05-19,2045499885000.0,
2025-05-19,2099548523000.0,
2025-05-20,2088266684093.75,
2025-05-20,2114303673312.5,
2025-05-20,2088653519906.25,
2025-05-20,2106711260500.0,
2025-05-20,2093808160125.0,
2025-05-21,2125440194062.5,
2025-05-21,2112338183250.0,
2025-05-21,2165395949718.75,
2025-05-21,2158254729562.5,
2025-05-22,2179921760250.0,
2025-05-22,2201787690375.0,
2025-05-22,2198421170937.5,
2025-05-22,2209359825000.0,
2025-05-22,2204602518500.0,
2025-05-23,2154191220187.5,
2025-05-23,2206799154312.5,
2025-05-23,2198862803812.5,
2025-05-23,2147215137062.5,
2025-05-23,2156564300625.0,
2025-05-24,2166542679250.0,
2025-05-24,2160592779187.5,
2025-05-24,2149234800468.75,
2025-05-24,2148053468656.25,
2025-05-25,2123866888500.0,
2025-05-25,2125666857937.5,
2025-05-25,2137952483750.0,
2025-05-25,2143328021406.25,
2025-05-25,2141374744843.75,
2025-05-26,2169843243750.0,
2025-05-26,2174203780812.5,
2025-05-26,2184315627093.75,
2025-05-26,2181942200968.75,
2025-05-26,2174767053593.75,
2025-05-27,2165283958093.75,
2025-05-27,2178608129875.0,
2025-05-27,2176035908156.25,
2025-05-27,2177040739500.0,
2025-05-28,2157776958875.0,
2025-05-28,2161762010375.0,
2025-05-28,2162369021250.0,
2025-05-28,2133765429250.0,
2025-05-28,2130398052625.0,
2025-05-29,2112964506625.0,
2025-05-29,2108979541125.0,
2025-05-29,2148094286250.0,
2025-05-29,2144329518375.0,
2025-05-29,2160436275000.0,
2025-05-30,2106019987750.0,
2025-05-30,2105036987625.0,
2025-05-30,2103855256875.0,
2025-05-30,2062730467500.0,
2025-05-30,2066914022625.0,
2025-05-31,2083857875750.0,
2025-05-31,2081860123500.0,
2025-05-31,2058180584125.0,
2025-05-31,2061767984375.0,
2025-05-31,2064759243750.0,
